sex,padreSector,fechaNacimiento,edadDejaEstudio,muere,naceFueraMatri,madreEdad
female,Agricultura,1854-09-06,15,0,no,28.808
female,NoFijo,1863-12-31,15,0,no,26.554
female,Agricultura,1883-07-31,0.509,1,no,36.493
female,NoFijo,1884-11-20,0.047,1,no,22.256
female,Agricultura,1875-06-16,15,0,no,38.524
female,Agricultura,1855-01-28,15,0,no,31.009
female,Agricultura,1877-04-02,15,0,no,37.435
female,Agricultura,1875-04-13,15,0,no,31.094
male,Agricultura,1872-10-20,15,0,no,33.155
female,Agricultura,1854-10-03,1.355,1,no,34.01
female,Agricultura,1860-08-21,15,0,no,35.882
male,NoFijo,1877-10-21,15,0,no,43.803
female,Agricultura,1875-02-02,11.603,1,no,28.145
female,Agricultura,1860-03-31,15,0,no,31.559
female,Agricultura,1871-07-05,15,0,no,26.01
male,Agricultura,1881-03-31,15,0,yes,26.352
female,Agricultura,1865-07-12,15,0,no,35.176
male,Agricultura,1882-09-29,15,0,no,29.322
male,Agricultura,1874-06-07,15,0,no,44.479
female,Agricultura,1884-09-18,15,0,no,21.733
female,NoFijo,1878-08-09,15,0,no,25.695
male,Agricultura,1855-02-12,3.368,1,no,28.172
female,Agricultura,1879-12-18,15,0,no,26.793
male,Agricultura,1871-06-24,15,0,no,34.675
female,Agricultura,1879-03-29,15,0,no,26.557
male,Agricultura,1883-02-26,15,0,no,34.938
male,Agricultura,1869-12-14,15,0,no,33.555
male,SectorPublico,1884-08-01,15,0,no,32.712
male,NoFijo,1863-04-11,15,0,no,45.095
female,Agricultura,1880-01-17,15,0,no,31.069
male,Agricultura,1872-12-19,15,0,no,26.223
male,Agricultura,1855-01-15,15,0,no,24.769
female,Agricultura,1871-08-27,15,0,no,35.425
female,NoFijo,1872-06-07,15,0,no,29.87
male,Agricultura,1865-09-24,0.372,1,yes,17.038
female,Agricultura,1883-12-12,15,0,no,27.86
male,Agricultura,1860-04-19,5.383,0,no,33.676
male,Agricultura,1862-07-24,15,0,no,25.667
male,Agricultura,1884-10-20,15,0,yes,26.352
male,Agricultura,1875-02-05,15,0,no,36.419
male,Agricultura,1867-03-17,15,0,no,17.886
female,Agricultura,1881-12-05,15,0,no,26.757
male,NoFijo,1881-04-08,15,0,no,26.089
female,NoFijo,1882-02-15,6.702,1,no,24.956
female,Agricultura,1874-06-14,8.983,0,no,20.726
male,Agricultura,1871-01-26,15,0,no,41.183
female,Agricultura,1872-05-09,15,0,no,42.595
male,Agricultura,1855-10-03,13.205,1,no,28.2
female,Agricultura,1863-07-13,15,0,no,28
female,Agricultura,1876-09-21,15,0,no,25.758
male,Agricultura,1875-08-16,15,0,no,21.092
female,NoFijo,1884-08-12,15,0,no,27.469
male,Agricultura,1881-11-20,15,0,no,24.717
male,Agricultura,1866-10-11,1.914,1,no,28.427
male,Agricultura,1867-12-31,15,0,yes,21.895
female,Agricultura,1875-06-06,15,0,no,23.324
female,Agricultura,1878-07-23,15,0,no,41.336
female,Agricultura,1850-02-27,15,0,no,40.444
female,Agricultura,1882-10-24,15,0,no,22.604
male,NoFijo,1882-06-26,15,0,no,22.634
female,Agricultura,1856-09-26,4.296,1,no,31.644
male,NoFijo,1869-02-06,0.309,1,no,30.311
female,Agricultura,1866-09-14,15,0,no,30.16
female,NoFijo,1865-04-06,15,0,no,29.632
male,NoFijo,1860-03-03,15,0,yes,38.82
male,Agricultura,1879-09-24,3.184,1,no,30.678
female,NoFijo,1878-04-29,15,0,no,40.277
female,Agricultura,1862-01-19,4.578,1,no,28.408
female,NoFijo,1873-04-04,3.302,1,no,40.958
male,Agricultura,1875-05-11,15,0,no,38.201
male,NoFijo,1883-06-26,15,0,no,21.749
male,Agricultura,1880-12-21,15,0,no,36.413
male,NoFijo,1855-07-01,15,0,no,30.007
female,Agricultura,1853-10-14,15,0,no,28.972
female,NoFijo,1874-04-30,15,0,no,35.236
female,Agricultura,1883-05-13,15,0,no,26.062
female,Agricultura,1867-09-30,6.163,1,no,41.53
female,NoFijo,1862-01-11,15,0,no,45.426
male,SectorPublico,1879-02-14,15,0,no,37.175
male,Agricultura,1883-04-24,15,0,no,39.595
male,Agricultura,1876-01-11,0.988,1,no,20.356
female,Agricultura,1855-02-08,2.656,1,no,29.325
female,Agricultura,1865-04-30,15,0,no,31.83
male,Agricultura,1855-09-17,15,0,no,28.342
male,Agricultura,1876-05-10,9.437,1,no,36.334
male,Agricultura,1853-01-29,15,0,no,38.379
female,Agricultura,1864-05-06,15,0,no,38.951
male,NoFijo,1877-08-04,15,0,no,36.914
female,Agricultura,1877-03-20,15,0,no,42.376
female,Agricultura,1878-11-30,15,0,no,32.605
female,NoFijo,1878-01-17,15,0,no,31.168
female,Agricultura,1883-05-08,15,0,no,41.577
male,Agricultura,1878-11-05,15,0,no,19.08
male,NoFijo,1863-05-25,15,0,no,33.355
male,NoFijo,1880-05-14,15,0,no,29.985
male,Agricultura,1867-03-13,4.411,1,no,30.615
female,Agricultura,1876-10-05,15,0,no,39.628
female,NoFijo,1851-10-05,15,0,no,27.368
female,Agricultura,1858-03-17,0.991,1,no,22.272
male,SectorPrivado,1861-02-20,15,0,no,29.106
male,Agricultura,1877-12-15,15,0,yes,36.545
male,Agricultura,1875-03-14,15,0,no,43.365
female,Agricultura,1858-04-25,15,0,no,21.407
female,NoFijo,1883-12-29,0.498,0,no,22.56
female,Agricultura,1857-05-16,15,0,no,33.577
female,NoFijo,1861-01-06,0.016,1,yes,42.899
female,NoFijo,1880-07-25,0.266,1,no,31.718
female,Agricultura,1856-01-05,15,0,no,29.292
male,Agricultura,1875-10-05,15,0,no,37.689
female,Agricultura,1866-12-18,15,0,no,23.447
male,NoFijo,1852-10-30,15,0,no,30.018
male,Agricultura,1852-09-13,15,0,no,31.981
male,NoFijo,1852-03-17,0.304,1,no,27.209
male,NoFijo,1858-07-23,15,0,no,32.799
male,NoFijo,1875-04-08,15,0,no,27.326
male,Agricultura,1868-12-15,15,0,no,32.402
female,NoFijo,1875-10-17,15,0,no,39.368
male,Agricultura,1870-05-26,1.719,1,no,37.068
female,Agricultura,1883-10-15,15,0,no,30.149
male,NoFijo,1861-07-18,15,0,no,32.008
female,Agricultura,1850-02-08,15,0,no,26.242
female,Agricultura,1855-01-01,15,0,yes,27.305
male,NoFijo,1881-03-01,15,0,no,34.505
male,NoFijo,1883-12-07,15,0,no,32.29
male,NoFijo,1856-04-15,15,0,no,25.32
female,NoFijo,1851-04-08,15,0,no,35.162
female,NoFijo,1859-06-03,2.078,1,no,37.112
male,NoFijo,1872-05-23,3.436,1,no,28.397
male,Agricultura,1864-04-22,15,0,no,37.369
female,NoFijo,1858-03-22,15,0,no,44.487
male,Agricultura,1879-03-15,15,0,no,38.207
female,Agricultura,1853-03-25,2.702,1,no,33.155
male,Agricultura,1860-02-04,15,0,no,20.879
female,Agricultura,1875-01-28,0.189,1,no,32.621
male,Agricultura,1882-09-14,15,0,no,30.136
female,NoFijo,1882-11-18,15,0,no,28.367
female,Agricultura,1860-10-17,15,0,no,30.776
male,NoFijo,1875-01-19,0.014,1,no,30.872
female,NoFijo,1855-09-06,15,0,no,31.526
male,NoFijo,1878-02-12,15,0,no,35.713
male,Agricultura,1883-04-06,15,0,no,37.183
male,Agricultura,1850-04-14,7.129,1,yes,33.547
male,Agricultura,1882-12-10,14.571,1,no,25.952
male,SectorPrivado,1884-07-02,15,0,no,22.853
female,Agricultura,1865-05-24,1.632,1,no,33.618
female,NoFijo,1883-10-18,15,0,no,23.986
male,Agricultura,1853-01-09,15,0,no,26.385
male,Agricultura,1880-01-08,15,0,no,28.394
female,Agricultura,1882-07-21,0.153,1,no,26.809
male,Agricultura,1878-01-24,15,0,no,26.875
female,NoFijo,1873-09-20,15,0,no,42.971
male,NoFijo,1864-01-21,4.786,0,no,37.147
female,NoFijo,1875-10-21,15,0,no,37.002
female,Agricultura,1884-02-27,15,0,no,24.011
male,NoFijo,1866-03-31,3.817,1,no,33.741
male,Agricultura,1874-05-31,15,0,no,33.144
male,Agricultura,1861-02-14,15,0,no,37.235
female,Agricultura,1884-12-24,7.324,1,no,42.973
female,Agricultura,1872-06-30,15,0,no,27.849
female,Agricultura,1880-04-10,15,0,no,40.849
female,Agricultura,1862-02-10,15,0,no,35.173
female,Agricultura,1854-05-22,1.043,1,no,26.568
male,Agricultura,1872-07-26,15,0,no,30.218
female,Agricultura,1880-12-16,15,0,no,23.321
female,Agricultura,1871-03-22,0.731,1,no,42.382
female,NoFijo,1881-10-30,4.356,1,no,36.241
male,Agricultura,1867-09-16,3.789,1,no,37.459
male,NoFijo,1860-06-29,15,0,no,38.376
female,Agricultura,1852-03-01,5.834,0,no,22.702
male,NoFijo,1863-10-05,0.027,1,no,18.344
male,Agricultura,1855-04-04,2.828,1,no,26.114
male,Agricultura,1871-11-26,15,0,no,28.624
male,Agricultura,1866-07-23,1.988,1,no,41.265
male,NoFijo,1875-07-26,15,0,no,28.542
male,NoFijo,1865-01-04,15,0,no,42.344
female,Agricultura,1869-08-02,15,0,no,39.354
female,Agricultura,1862-12-09,15,0,yes,39.441
female,Agricultura,1851-05-31,11.587,0,yes,25.697
male,NoFijo,1878-09-23,0.556,1,no,42.226
female,Agricultura,1850-01-20,7.817,1,yes,29.697
male,NoFijo,1854-04-03,15,0,no,36.063
female,Agricultura,1882-02-26,15,0,no,30.122
female,Agricultura,1875-10-26,15,0,no,28.616
female,Agricultura,1850-09-12,15,0,no,31.329
female,Agricultura,1860-11-05,15,0,no,41.41
male,Agricultura,1884-01-23,15,0,no,34.218
male,Agricultura,1865-02-03,15,0,no,43.74
female,Agricultura,1864-03-18,15,0,no,28.096
female,Agricultura,1873-11-03,15,0,no,35.953
male,NoFijo,1883-02-17,15,0,no,34.355
female,Agricultura,1884-04-12,15,0,yes,28.041
male,Agricultura,1884-03-24,2.185,1,no,26.349
male,NoFijo,1883-10-27,15,0,no,40.715
male,Agricultura,1870-04-22,15,0,yes,29.697
male,Agricultura,1879-07-29,15,0,no,42.992
female,NoFijo,1856-12-19,15,0,no,34.902
male,Agricultura,1883-01-07,15,0,no,28.301
male,NoFijo,1859-07-14,1.038,1,no,32.479
female,NoFijo,1858-04-10,15,0,no,32.654
male,Agricultura,1864-07-12,6.464,1,no,27.737
male,Agricultura,1865-07-13,15,0,no,27.685
male,Agricultura,1855-05-30,15,0,no,41.369
female,NoFijo,1858-10-17,15,0,no,35.318
female,NoFijo,1884-05-16,15,0,no,29.47
male,Agricultura,1881-11-04,15,0,no,27.625
male,Agricultura,1874-02-21,15,0,no,32.964
male,Agricultura,1883-12-06,15,0,no,26.626
male,NoFijo,1884-11-19,15,0,no,36.939
female,NoFijo,1880-05-04,15,0,no,37.766
female,Agricultura,1866-05-02,15,0,no,41.662
female,Agricultura,1859-01-31,0.096,1,no,36.452
male,Agricultura,1878-04-26,15,0,no,26.601
male,NoFijo,1881-02-27,15,0,no,38.094
female,Agricultura,1875-09-18,0.416,1,no,30.839
male,NoFijo,1868-12-05,15,0,no,30.037
female,Agricultura,1855-12-09,2.571,1,no,34.954
male,NoFijo,1854-10-25,15,0,no,28.851
male,Agricultura,1863-04-04,15,0,no,37.199
female,Agricultura,1865-04-06,15,0,no,45.314
female,Agricultura,1858-10-22,15,0,no,24.789
male,Agricultura,1880-04-26,15,0,no,29.889
male,Agricultura,1879-11-21,7.518,1,no,33.3
female,Agricultura,1874-06-03,15,0,no,24.846
female,Agricultura,1851-09-14,15,0,no,37.785
male,NoFijo,1852-06-01,15,0,no,24.923
female,Agricultura,1861-10-29,15,0,no,22.612
male,Agricultura,1882-07-14,15,0,no,22.059
male,Agricultura,1877-10-30,15,0,no,27.433
male,Agricultura,1850-02-18,15,0,yes,31.504
female,SectorPrivado,1878-03-18,15,0,no,30.697
male,Agricultura,1884-03-26,15,0,no,37.44
male,NoFijo,1881-11-02,0.186,1,no,40.159
male,Agricultura,1858-11-02,15,0,no,36.882
male,NoFijo,1862-04-21,15,0,no,32.805
male,Agricultura,1854-07-18,15,0,no,18.001
female,Agricultura,1863-08-26,1.848,1,no,22.812
female,Agricultura,1854-09-19,15,0,no,42.719
female,Agricultura,1866-08-11,5.109,1,no,22.051
male,Agricultura,1850-05-21,15,0,no,41.717
female,NoFijo,1866-10-11,15,0,no,22.615
male,Agricultura,1877-11-02,15,0,no,33.971
male,SectorPublico,1878-09-21,15,0,no,40.052
male,Agricultura,1872-11-17,1.128,1,no,42.601
female,NoFijo,1865-04-03,15,0,no,40.225
male,NoFijo,1870-12-08,13.344,0,yes,37.125
male,SectorPublico,1875-04-23,13.352,0,no,23.288
female,Agricultura,1877-04-06,15,0,no,36.912
male,Agricultura,1872-08-06,15,0,no,27.808
male,Agricultura,1864-01-30,15,0,no,40.55
female,Agricultura,1880-12-17,15,0,no,35.151
male,NoFijo,1874-10-30,15,0,no,35.565
male,NoFijo,1867-08-31,0.003,1,yes,41.645
male,NoFijo,1860-07-18,0.534,1,no,25.96
male,Agricultura,1882-02-03,15,0,no,25.938
female,Agricultura,1880-03-28,5.112,1,no,37.76
male,Agricultura,1878-01-20,15,0,no,22.697
male,Agricultura,1851-05-26,1.591,1,no,25.459
female,Agricultura,1868-09-17,15,0,no,29.068
female,Agricultura,1855-08-15,15,0,no,30.639
female,NoFijo,1877-05-08,15,0,no,37.626
female,Agricultura,1860-07-01,15,0,no,29.528
female,Agricultura,1856-09-18,15,0,yes,32.118
male,Agricultura,1864-07-01,15,0,no,20.98
male,Agricultura,1871-08-12,15,0,no,36.934
female,Agricultura,1864-05-12,0.975,1,no,40.704
female,NoFijo,1855-11-18,0.038,1,no,33.175
female,Agricultura,1865-04-24,15,0,no,36.736
male,NoFijo,1864-09-21,15,0,no,43.069
female,Agricultura,1866-01-09,15,0,no,31.671
male,NoFijo,1860-01-14,15,0,no,27.77
female,NoFijo,1868-12-19,15,0,no,31.858
male,NoFijo,1853-02-26,1.128,1,no,23.775
male,NoFijo,1859-05-05,15,0,yes,31.666
female,Agricultura,1860-09-08,15,0,no,33.955
female,Agricultura,1872-02-08,1.484,1,no,24.342
female,NoFijo,1870-08-30,15,0,no,46.272
male,Agricultura,1879-01-19,0.047,1,yes,23.773
male,Agricultura,1884-03-12,15,0,no,34.39
female,Agricultura,1884-05-24,15,0,no,23.726
male,Agricultura,1880-08-13,2.256,1,no,35.592
male,NoFijo,1853-02-10,4.085,1,no,28.821
female,Agricultura,1873-07-30,15,0,no,33.99
female,NoFijo,1864-02-27,15,0,no,41.665
male,SectorPublico,1880-11-20,15,0,no,27.984
male,Agricultura,1883-05-24,1.81,1,no,46.957
female,NoFijo,1881-06-17,15,0,no,25.539
female,Agricultura,1851-02-13,15,0,no,40.227
female,Agricultura,1862-11-26,15,0,no,36.936
female,NoFijo,1862-11-20,2.916,1,no,41.903
female,Agricultura,1882-01-11,11.584,1,no,31.359
male,Agricultura,1883-11-03,15,0,no,28.107
male,Agricultura,1884-08-13,15,0,no,29.273
female,Agricultura,1878-01-08,15,0,no,34.305
male,Agricultura,1881-02-25,0.038,1,no,22.026
male,Agricultura,1858-11-14,15,0,no,33.514
male,NoFijo,1884-12-14,15,0,no,26.45
female,Agricultura,1855-06-18,6.582,1,no,31.817
female,SectorPublico,1884-12-07,15,0,no,41.854
male,Agricultura,1880-03-19,15,0,no,23.775
female,NoFijo,1884-05-08,15,0,no,23.127
female,Agricultura,1866-11-04,15,0,yes,31.723
male,Agricultura,1856-04-18,15,0,no,35.576
female,NoFijo,1883-05-18,9.906,1,no,34.913
male,Agricultura,1858-01-28,15,0,yes,27.907
male,NoFijo,1856-01-01,15,0,yes,30.078
female,NoFijo,1874-04-26,15,0,no,28.66
male,NoFijo,1880-01-19,0.014,1,no,26.995
male,NoFijo,1874-04-18,15,0,no,24.764
male,Agricultura,1874-08-23,0.917,1,no,41.703
male,Agricultura,1875-01-05,15,0,no,41.314
male,Agricultura,1876-02-23,1.812,1,no,33.333
male,Agricultura,1870-06-04,15,0,yes,41.161
male,Agricultura,1851-09-04,15,0,no,25.643
male,Agricultura,1865-05-04,15,0,no,25.87
female,NoFijo,1873-03-19,15,0,yes,23.869
female,Agricultura,1878-10-23,15,0,no,25.5
female,Agricultura,1872-04-16,1.602,1,no,34.541
male,Agricultura,1872-12-09,1.035,1,no,34.445
male,Agricultura,1874-10-05,11.502,0,no,34.256
female,NoFijo,1850-06-22,2.93,1,no,28.364
male,Agricultura,1876-07-04,15,0,no,26.39
male,NoFijo,1881-02-18,15,0,no,28.027
male,Agricultura,1879-01-29,0.09,1,no,39.354
male,NoFijo,1881-07-31,15,0,no,25.796
male,Agricultura,1867-11-27,15,0,no,31.143
female,Agricultura,1879-11-27,0.041,1,no,39.359
female,Agricultura,1873-10-30,15,0,no,27.704
male,Agricultura,1884-03-18,1.662,1,no,24.586
male,Agricultura,1869-09-20,0.085,1,yes,26.437
male,Agricultura,1859-08-18,15,0,no,22.606
male,Agricultura,1865-12-21,11.836,0,yes,30.834
male,NoFijo,1857-01-23,15,0,no,32.348
male,Agricultura,1861-11-20,15,0,no,20.778
male,Agricultura,1880-01-10,15,0,no,20.693
male,Agricultura,1878-02-24,15,0,no,22.522
male,NoFijo,1880-01-28,15,0,no,38.396
male,NoFijo,1872-09-30,15,0,no,37.99
male,Agricultura,1869-10-29,15,0,no,30.773
male,Agricultura,1883-09-16,3.288,1,no,38.286
female,Agricultura,1876-05-26,15,0,no,33.914
male,Agricultura,1855-09-01,15,0,no,37.306
female,Agricultura,1851-07-01,15,0,no,42.762
female,Agricultura,1883-11-01,15,0,no,24.772
female,Agricultura,1871-05-27,15,0,no,36.969
female,NoFijo,1857-08-21,15,0,no,28.392
female,Agricultura,1863-06-06,15,0,no,27.992
female,NoFijo,1880-05-27,15,0,no,26.587
male,NoFijo,1870-08-10,15,0,no,20.249
female,Agricultura,1862-06-15,15,0,no,28.192
female,NoFijo,1870-08-27,15,0,yes,35.406
female,NoFijo,1859-11-02,15,0,yes,31.658
female,Agricultura,1879-11-27,15,0,no,34.122
male,NoFijo,1881-09-07,15,0,no,26.571
male,NoFijo,1862-03-02,0.331,1,yes,42.256
male,Agricultura,1870-08-27,15,0,yes,38.155
female,Agricultura,1881-10-27,15,0,no,33.867
female,Agricultura,1859-02-23,15,0,no,26.155
female,Agricultura,1866-09-28,0.03,1,yes,24.022
male,Agricultura,1876-01-25,1.125,1,no,36.851
female,Agricultura,1875-08-07,15,0,no,24.036
female,Agricultura,1873-02-18,15,0,no,36.107
female,NoFijo,1880-01-18,15,0,no,27.713
male,Agricultura,1872-08-04,15,0,no,28.238
female,Agricultura,1868-08-19,15,0,no,29.596
male,Agricultura,1869-08-24,4.572,1,no,25.854
female,Agricultura,1851-10-10,15,0,no,30.768
male,Agricultura,1879-07-13,1.706,1,no,24.26
male,NoFijo,1866-02-28,0.068,1,no,22.166
female,Agricultura,1881-07-18,15,0,no,17.999
male,Agricultura,1880-01-09,15,0,no,28.03
female,NoFijo,1866-07-29,0.301,1,no,27.696
female,Agricultura,1873-05-03,15,0,yes,23.384
female,Agricultura,1854-06-17,15,0,no,25.383
female,NoFijo,1865-12-18,15,0,no,28.786
male,NoFijo,1854-11-29,15,0,no,36.909
male,NoFijo,1867-12-10,0.162,1,no,21.782
male,Agricultura,1874-10-01,15,0,no,31.217
male,NoFijo,1874-03-26,15,0,no,36.23
female,Agricultura,1884-10-26,15,0,no,37.848
male,Agricultura,1874-04-13,0.786,1,no,32.717
female,Agricultura,1879-09-08,15,0,no,39.231
female,Agricultura,1864-02-15,15,0,no,25.875
female,Agricultura,1855-09-29,15,0,no,29.687
female,Agricultura,1870-09-07,15,0,no,27.573
male,NoFijo,1854-01-16,3.398,1,no,35.414
female,NoFijo,1853-12-21,15,0,no,37.002
male,Agricultura,1879-03-16,15,0,no,42.092
female,Agricultura,1860-03-28,15,0,no,39.146
female,Agricultura,1869-05-13,15,0,no,38.784
female,Agricultura,1853-08-30,1.755,1,no,39.603
male,NoFijo,1855-03-19,15,0,no,26.932
male,NoFijo,1874-12-29,15,0,no,33.139
male,Agricultura,1881-02-24,15,0,no,32.572
female,Agricultura,1864-02-28,15,0,no,30.231
male,Agricultura,1878-06-26,15,0,no,23.877
male,Agricultura,1851-07-02,2.998,1,no,43.42
male,Agricultura,1854-10-27,5.112,1,no,33.117
male,Agricultura,1875-01-13,15,0,no,36.356
female,NoFijo,1881-01-20,15,0,no,34.27
male,NoFijo,1875-03-03,15,0,no,32.605
male,Agricultura,1878-01-09,15,0,no,22.24
male,Agricultura,1868-07-18,0.402,1,no,22.527
male,Agricultura,1860-01-16,15,0,no,27.587
male,SectorPublico,1878-01-29,11.099,0,no,29.295
female,Agricultura,1880-09-12,15,0,no,24.964
female,Agricultura,1865-05-30,15,0,no,35.622
male,Agricultura,1880-02-11,15,0,no,21.988
female,Agricultura,1870-10-26,15,0,no,35.187
female,Agricultura,1872-12-17,8.767,1,no,20.808
female,Agricultura,1874-06-19,15,0,no,32.838
male,Agricultura,1864-06-05,15,0,no,27.129
female,Agricultura,1876-03-14,15,0,no,31.22
female,Agricultura,1878-07-11,15,0,no,25.268
female,Agricultura,1870-04-10,15,0,no,23.838
male,Agricultura,1857-02-06,0.014,1,no,31.135
male,Agricultura,1856-08-05,15,0,yes,21.566
female,Agricultura,1851-07-10,15,0,yes,18.385
female,Agricultura,1867-06-07,15,0,no,25.982
male,Agricultura,1880-01-25,15,0,no,36.709
male,NoFijo,1850-09-13,0.49,1,no,41.752
male,Agricultura,1868-01-13,15,0,no,41.451
male,NoFijo,1878-03-26,15,0,no,35.515
male,Agricultura,1867-02-04,6.179,1,no,36.605
female,Agricultura,1880-01-12,15,0,no,25.886
female,NoFijo,1876-10-09,15,0,no,34.387
male,Agricultura,1855-06-29,15,0,no,34.642
female,Agricultura,1875-08-14,15,0,no,27.244
female,Agricultura,1864-05-06,15,0,no,41.64
male,Agricultura,1858-03-25,0.86,1,no,41.911
male,Agricultura,1875-11-27,15,0,yes,32.936
male,NoFijo,1876-01-14,15,0,no,37.76
female,Agricultura,1884-02-19,0.786,1,no,39.636
male,Agricultura,1877-07-31,15,0,no,23.636
male,NoFijo,1879-09-29,5.933,1,no,35.858
female,Agricultura,1858-03-17,15,0,no,37.577
female,Agricultura,1853-12-01,15,0,no,29.448
male,NoFijo,1868-02-12,5.528,0,no,28.69
male,Agricultura,1882-01-03,15,0,no,30.04
male,Agricultura,1881-10-26,3.187,1,no,26.119
female,NoFijo,1852-11-06,15,0,no,34.182
female,Agricultura,1861-05-05,15,0,no,41.637
female,Agricultura,1850-12-09,15,0,yes,33.04
female,NoFijo,1865-02-03,0.405,1,no,22.582
male,Agricultura,1879-01-03,15,0,no,24.89
female,Agricultura,1855-06-04,15,0,no,22.738
male,NoFijo,1875-03-06,15,0,no,32.186
female,Agricultura,1882-11-05,15,0,no,27.551
male,NoFijo,1850-05-31,15,0,no,43.469
male,Agricultura,1866-03-20,15,0,no,44.372
male,SectorPublico,1878-10-09,15,0,no,31.017
male,NoFijo,1881-06-26,15,0,no,32.898
male,Agricultura,1850-08-13,15,0,no,31.19
female,Agricultura,1875-09-30,15,0,no,37.676
male,Agricultura,1869-10-11,15,0,yes,34.16
male,Agricultura,1882-05-22,15,0,no,23.981
male,Agricultura,1866-12-02,7.504,1,no,36.46
female,NoFijo,1858-09-03,15,0,no,27.422
female,Agricultura,1865-03-05,0.257,1,no,37.229
female,Agricultura,1876-08-11,15,0,no,36.671
male,NoFijo,1857-03-01,15,0,no,34.431
female,NoFijo,1864-11-08,15,0,no,36.934
female,NoFijo,1882-12-24,15,0,no,32.912
male,Agricultura,1877-12-02,15,0,no,23.567
male,NoFijo,1883-06-10,6.47,1,yes,24.367
female,Agricultura,1861-07-13,2.757,1,no,36.78
female,Agricultura,1865-11-21,1.169,1,no,41.911
female,Agricultura,1865-06-10,15,0,no,28.479
male,NoFijo,1884-05-08,2.7,1,no,28.873
male,NoFijo,1882-04-01,0.019,1,no,25.541
female,Agricultura,1879-05-12,1.18,1,no,19.852
male,Agricultura,1884-04-26,15,0,no,36.082
female,Agricultura,1872-10-09,15,0,no,35.91
female,NoFijo,1869-11-08,15,0,no,34.078
male,Agricultura,1879-11-27,15,0,no,33.046
female,SectorPublico,1862-05-04,12.279,0,no,44.717
female,Agricultura,1852-11-17,15,0,no,22.924
male,NoFijo,1882-09-07,0.767,0,no,26.565
female,Agricultura,1877-10-08,15,0,no,32.701
male,Agricultura,1875-02-20,15,0,no,41.766
female,Agricultura,1864-12-05,15,0,no,33.829
male,Agricultura,1852-07-25,0.096,1,no,28.783
female,Agricultura,1857-07-26,15,0,no,21.065
female,Agricultura,1884-06-11,15,0,no,30.7
female,Agricultura,1877-05-07,15,0,no,40.605
female,NoFijo,1878-04-01,15,0,no,43.89
male,Agricultura,1861-01-26,15,0,no,35.734
female,Agricultura,1873-09-30,15,0,no,26.281
male,Agricultura,1876-10-25,15,0,no,32.912
male,Agricultura,1881-06-24,15,0,no,29.232
female,Agricultura,1851-06-24,15,0,no,27.324
male,Agricultura,1879-10-10,15,0,no,41.164
male,NoFijo,1880-10-31,15,0,no,29.845
male,Agricultura,1869-03-19,15,0,no,32.249
female,Agricultura,1874-05-08,13.875,0,no,34.675
female,Agricultura,1882-10-06,3.855,1,no,31.001
male,Agricultura,1869-07-07,15,0,no,38.018
female,Agricultura,1884-12-25,15,0,no,29.572
female,Agricultura,1878-03-23,1.629,1,no,38.576
male,Agricultura,1882-08-16,15,0,no,37.383
female,NoFijo,1861-09-20,12.359,1,no,34.669
male,Agricultura,1867-03-27,15,0,no,43.359
male,Agricultura,1868-11-03,15,0,no,26.779
female,Agricultura,1859-01-06,15,0,no,39.759
female,Agricultura,1868-03-09,15,0,no,28.309
male,Agricultura,1860-08-31,6.552,1,no,32.559
female,Agricultura,1862-12-24,15,0,no,21.922
male,NoFijo,1882-06-11,15,0,no,34.598
male,Agricultura,1850-02-06,15,0,no,29.109
female,Agricultura,1877-08-23,15,0,no,29.881
male,SectorPublico,1877-10-01,15,0,no,42.371
male,Agricultura,1865-03-24,0.036,1,no,33.67
female,Agricultura,1878-07-20,15,0,no,30.185
female,Agricultura,1869-02-15,4.471,1,no,31.674
female,Agricultura,1884-02-08,2.188,1,yes,24.728
male,NoFijo,1877-03-03,5.558,1,no,39.132
male,Agricultura,1881-10-05,0.019,1,no,35.921
female,NoFijo,1874-02-12,0.085,1,yes,20.496
male,SectorPublico,1874-11-11,15,0,no,23.786
male,Agricultura,1854-03-02,15,0,no,30.409
female,NoFijo,1861-12-26,1.098,1,yes,34.278
male,Agricultura,1852-02-01,15,0,no,21.626
female,NoFijo,1871-09-19,15,0,no,21.457
female,Agricultura,1880-12-10,15,0,no,37.862
male,NoFijo,1862-05-16,15,0,yes,17.859
female,Agricultura,1870-02-06,15,0,no,25.665
male,NoFijo,1865-11-12,4.846,1,no,38.976
female,Agricultura,1861-08-17,15,0,no,40.465
female,NoFijo,1874-06-08,15,0,no,30.872
female,NoFijo,1864-10-28,15,0,no,34.634
male,Agricultura,1855-07-15,1.859,1,no,23.299
female,Agricultura,1881-02-03,15,0,no,27.326
male,Agricultura,1851-03-20,2.001,0,no,28.498
male,Agricultura,1861-07-01,0.75,1,no,30.823
female,Agricultura,1866-06-25,0.047,1,no,22.757
female,Agricultura,1855-08-01,15,0,no,24.827
male,NoFijo,1871-10-01,15,0,no,35.195
female,NoFijo,1880-06-05,1.188,1,no,38.212
male,SectorPublico,1883-08-14,15,0,yes,45.7
female,Agricultura,1878-05-18,15,0,no,38.396
male,NoFijo,1867-05-20,15,0,no,27.734
female,Agricultura,1860-04-07,15,0,no,29.279
female,Agricultura,1869-05-19,15,0,no,25.681
male,Agricultura,1868-01-01,15,0,yes,37.339
female,Agricultura,1880-08-15,15,0,no,37.3
